EQIPMENT_ID	OTHER_ID	MTF_ID		SerNum		Correct_OTHERID	Correct_SerNum
29287		----NULL----	20MNEVMM300327	000312		VMM3_0000312	312
29288		----NULL----	20MNEVMM300328	000316		VMM3_0000316	316
29289		----NULL----	20MNEVMM300329	000322		VMM3_0000322	322
29290		----NULL----	20MNEVMM300330	000337		VMM3_0000337	337
29291		----NULL----	20MNEVMM300331	000341		VMM3_0000341	341
29292		----NULL----	20MNEVMM300332	000381		VMM3_0000381	381
29293		----NULL----	20MNEVMM300333	000382		VMM3_0000382	382
29294		----NULL----	20MNEVMM300334	000386		VMM3_0000386	386
29295		----NULL----	20MNEVMM300335	000395		VMM3_0000395	395
29296		----NULL----	20MNEVMM300336	000406		VMM3_0000406	406
29297		----NULL----	20MNEVMM300337	000444		VMM3_0000444	444
29298		----NULL----	20MNEVMM300338	000449		VMM3_0000449	449
29299		----NULL----	20MNEVMM300339	000461		VMM3_0000461	461
29300		----NULL----	20MNEVMM300340	000480		VMM3_0000480	480
29301		----NULL----	20MNEVMM300341	000502		VMM3_0000502	502
29302		----NULL----	20MNEVMM300342	000506		VMM3_0000506	506
29303		----NULL----	20MNEVMM300343	000519		VMM3_0000519	519
29304		----NULL----	20MNEVMM300344	000536		VMM3_0000536	536
29305		----NULL----	20MNEVMM300345	000538		VMM3_0000538	538
29306		----NULL----	20MNEVMM300346	000548		VMM3_0000548	548
29307		----NULL----	20MNEVMM300347	000555		VMM3_0000555	555
29308		----NULL----	20MNEVMM300348	000556		VMM3_0000556	556
29309		----NULL----	20MNEVMM300349	000557		VMM3_0000557	557
29310		----NULL----	20MNEVMM300350	000559		VMM3_0000559	559
29311		----NULL----	20MNEVMM300351	000587		VMM3_0000587	587
29312		----NULL----	20MNEVMM300352	000589		VMM3_0000589	589
29313		----NULL----	20MNEVMM300353	000610		VMM3_0000610	610
29314		----NULL----	20MNEVMM300354	000613		VMM3_0000613	613
29315		----NULL----	20MNEVMM300355	000623		VMM3_0000623	623
29316		----NULL----	20MNEVMM300356	000626		VMM3_0000626	626
29317		----NULL----	20MNEVMM300357	000630		VMM3_0000630	630
29318		----NULL----	20MNEVMM300358	000636		VMM3_0000636	636
29319		----NULL----	20MNEVMM300359	000643		VMM3_0000643	643
29320		----NULL----	20MNEVMM300360	000644		VMM3_0000644	644
29321		----NULL----	20MNEVMM300361	000646		VMM3_0000646	646
29322		----NULL----	20MNEVMM300362	000651		VMM3_0000651	651
29323		----NULL----	20MNEVMM300363	000655		VMM3_0000655	655
29324		----NULL----	20MNEVMM300364	000660		VMM3_0000660	660
29325		----NULL----	20MNEVMM300365	000666		VMM3_0000666	666
29326		----NULL----	20MNEVMM300366	000668		VMM3_0000668	668
29327		----NULL----	20MNEVMM300367	000671		VMM3_0000671	671
29328		----NULL----	20MNEVMM300368	000675		VMM3_0000675	675
29329		----NULL----	20MNEVMM300369	000693		VMM3_0000693	693
29330		----NULL----	20MNEVMM300370	000710		VMM3_0000710	710
29331		----NULL----	20MNEVMM300371	000714		VMM3_0000714	714
29332		----NULL----	20MNEVMM300372	000716		VMM3_0000716	716
29333		----NULL----	20MNEVMM300373	000718		VMM3_0000718	718
29334		----NULL----	20MNEVMM300374	000728		VMM3_0000728	728
29335		----NULL----	20MNEVMM300375	000731		VMM3_0000731	731
29336		----NULL----	20MNEVMM300376	000742		VMM3_0000742	742
